               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11726,            0.029506,            0.042117,          0.00061535,             0.18519,           0.0018674,          0.00034387,            0.079234,            0.019779,            0.028711,              0.0982,              0.0002,              0.0002
                   1,             0.11697,            0.029903,             0.04352,          0.00070193,             0.20711,           0.0018374,          0.00039862,            0.072727,            0.019238,            0.028601,            0.095495,          0.00049505,          0.00049505
                   2,             0.10907,             0.02967,            0.041213,           0.0014298,               0.407,           0.0029564,          0.00053812,            0.060832,            0.018661,            0.028098,            0.092784,          0.00078416,          0.00078416
                   3,            0.093006,            0.030377,            0.041327,           0.0023439,             0.66245,           0.0046111,            0.001248,            0.052555,            0.017487,            0.027145,            0.090067,           0.0010673,           0.0010673
                   4,            0.084138,            0.027825,            0.037174,           0.0033221,             0.92484,            0.015499,            0.003556,            0.046105,            0.016175,            0.026065,            0.087345,           0.0013446,           0.0013446
                   5,            0.077548,            0.030437,            0.036351,           0.0033781,             0.94336,            0.043126,            0.011288,            0.040172,            0.015414,            0.024847,            0.084616,           0.0016158,           0.0016158
                   6,            0.071875,            0.029278,            0.035506,             0.05413,             0.80692,             0.17574,            0.053422,            0.036969,            0.014262,            0.024023,            0.081881,           0.0018812,           0.0018812
                   7,            0.064039,            0.027232,            0.032205,             0.27643,             0.24769,             0.34462,             0.11929,            0.034351,            0.013046,            0.022916,            0.079141,           0.0021406,           0.0021406
                   8,            0.060927,            0.026848,            0.031956,             0.29356,             0.39747,             0.38358,             0.18338,            0.033368,            0.012116,            0.022247,            0.076394,           0.0023941,           0.0023941
                   9,            0.055518,            0.025225,            0.031172,             0.39368,             0.83007,             0.52698,             0.21696,            0.029817,            0.012245,            0.021405,            0.073642,           0.0026416,           0.0026416
                  10,            0.051267,            0.023846,            0.028903,             0.28543,             0.56304,             0.37423,             0.13928,            0.040171,             0.01236,             0.02114,            0.070883,           0.0028832,           0.0028832
                  11,            0.050893,            0.021293,            0.026141,             0.44088,             0.78793,             0.59561,             0.24374,            0.038346,            0.012387,            0.020581,            0.068119,           0.0031189,           0.0031189
                  12,            0.050387,            0.022373,            0.025802,             0.37379,             0.49292,             0.51635,              0.1885,            0.036603,            0.012467,            0.019276,            0.065349,           0.0033486,           0.0033486
                  13,            0.052466,            0.020037,            0.024399,             0.45356,              0.7515,             0.58781,             0.21882,            0.034364,            0.011269,            0.017784,            0.062572,           0.0035723,           0.0035723
                  14,            0.052745,            0.017388,            0.023775,             0.44455,             0.72973,             0.65143,             0.36797,            0.032229,            0.009871,            0.014964,             0.05979,           0.0037902,           0.0037902
                  15,            0.050392,            0.018157,            0.021869,             0.75578,             0.55624,             0.68657,             0.29424,            0.031374,           0.0088234,            0.013692,            0.057002,           0.0040021,           0.0040021
                  16,            0.049911,            0.018583,            0.021394,             0.42165,             0.76562,             0.68935,             0.32432,            0.036338,           0.0081618,               0.013,            0.054208,            0.004208,            0.004208
                  17,            0.046625,            0.017474,            0.019991,             0.51976,             0.83471,             0.79438,             0.36854,             0.03141,           0.0080881,            0.011526,            0.051408,            0.004408,            0.004408
                  18,            0.047953,            0.016781,            0.016614,             0.48122,             0.71242,              0.7678,             0.35943,            0.030294,           0.0078967,             0.01008,            0.048602,           0.0046021,           0.0046021
                  19,            0.050385,            0.015513,            0.016661,             0.61251,             0.75054,             0.78883,             0.34635,            0.032247,            0.007524,           0.0079582,             0.04579,           0.0047902,           0.0047902
                  20,            0.049566,            0.016826,              0.0145,              0.6782,             0.72839,             0.77676,             0.36928,            0.032585,           0.0071964,           0.0067818,            0.042972,           0.0049724,           0.0049724
                  21,            0.048948,            0.016001,            0.012412,             0.52141,             0.86585,             0.73481,             0.24119,            0.036047,           0.0070035,           0.0058479,            0.040149,           0.0051487,           0.0051487
                  22,            0.049808,            0.015679,            0.013684,             0.67247,             0.88266,              0.8358,             0.42933,            0.028596,           0.0067673,           0.0051453,            0.037319,            0.005319,            0.005319
                  23,            0.047136,            0.015498,            0.010114,             0.69663,             0.55488,             0.69472,             0.30651,            0.036628,            0.006269,            0.004335,            0.034483,           0.0054833,           0.0054833
                  24,            0.050298,            0.014103,            0.010241,             0.60838,             0.75368,             0.76026,             0.44338,            0.033361,           0.0059881,           0.0037743,            0.031642,           0.0056418,           0.0056418
